"Показател","Мерна единица","Дата","Дружба","Павлово","Младост","Надежда","Орлов мост","Хиподрума","Копитото"
"NO2","ug/m3","02.06.2011","18.06748199462891","21.59417724609375","","18.94648933410645","44.06535720825195","25.80708503723145","0.4481365382671356"
"NO2","ug/m3","03.06.2011","16.95807838439941","18.84040260314941","","15.63318538665771","41.07950210571289","17.71073532104492","0.4277505576610565"
"NO2","ug/m3","04.06.2011","15.59928131103516","18.81460380554199","","16.15285873413086","49.45694732666016","22.27078437805176","0.3779581785202026"
"NO2","ug/m3","05.06.2011","15.56562423706055","24.30764007568359","","18.03993988037109","49.27383804321289","25.69377708435059","0.4892729818820953"
"NO2","ug/m3","06.06.2011","15.92392730712891","27.69149780273438","","21.55665588378906","53.96843338012695","27.31534576416016","0.3823526799678802"
"NO2","ug/m3","07.06.2011","14.88474559783936","25.94388580322266","","18.78573608398438","53.82831573486328","22.21962928771973","0.3682299256324768"
"NO2","ug/m3","08.06.2011","14.65463066101074","29.89896202087402","","23.70566749572754","57.18523788452148","27.14651679992676","0.50770503282547"
"NO2","ug/m3","09.06.2011","","15.32694721221924","","15.09484958648682","32.57904052734375","16.53560066223145",""
"NO2","ug/m3","10.06.2011","","6.296103477478027","","8.378345489501953","13.31305980682373","8.851897239685059",""
"NO2","ug/m3","11.06.2011","16.96299743652344","5.921215057373047","","10.48139762878418","15.18265247344971","9.318448066711426","0.6713864803314209"
"NO2","ug/m3","12.06.2011","14.87528419494629","4.214221954345703","","8.539994239807129","12.55407047271729","6.415542125701904","0.3700664639472961"
"NO2","ug/m3","13.06.2011","20.54319953918457","9.63902759552002","","14.66492938995361","24.86234855651855","13.24652290344238","0.3172329664230347"
"NO2","ug/m3","14.06.2011","21.28931617736816","13.8837423324585","","18.37749671936035","38.53081130981445","16.02560234069824","0.5285085439682007"
"NO2","ug/m3","15.06.2011","23.28017425537109","27.57616424560547","","23.37528228759766","46.83203887939453","29.71294593811035",""
"NO2","ug/m3","16.06.2011","23.45988845825195","27.25222778320312","","20.05536460876465","50.78220748901367","30.60612678527832",""
"NO2","ug/m3","17.06.2011","21.77859878540039","30.7412052154541","","19.40555191040039","52.72473907470703","34.49481964111328","0.7198476791381836"
"NO2","ug/m3","18.06.2011","18.46166229248047","28.36731910705566","","20.75479507446289","52.80942153930664","33.22294616699219","0.4194355010986328"
"NO2","ug/m3","19.06.2011","19.29663276672363","17.09836196899414","","18.54768943786621","35.81375885009766","21.93358039855957","0.2451523244380951"
"NO2","ug/m3","20.06.2011","18.63120269775391","6.790432453155518","","9.112516403198242","12.29152488708496","7.712432384490967","0.2934028804302216"
"NO2","ug/m3","21.06.2011","19.51596641540527","19.96786880493164","","15.15264701843262","42.38677215576172","25.282958984375","0.2424321919679642"
"NO2","ug/m3","22.06.2011","14.4847993850708","31.89610862731934","","22.03919982910156","55.08226013183594","29.33939552307129","0.2823373675346375"
"NO2","ug/m3","23.06.2011","14.66502571105957","35.58418273925781","","27.42444038391113","57.60564041137695","34.85569763183594","0.8290926218032837"
"NO2","ug/m3","24.06.2011","16.28965950012207","36.63669967651367","","25.17636108398438","60.26436614990234","38.35785675048828","0.4596772193908691"
"NO2","ug/m3","25.06.2011","10.50439453125","6.098553657531738","","9.347623825073242","13.57354640960693","8.716678619384766","0.4194355010986328"
"NO2","ug/m3","26.06.2011","11.79579925537109","3.440861463546753","","9.303218841552734","14.58919906616211","5.8924560546875","0.2451523244380951"
"NO2","ug/m3","27.06.2011","14.44863605499268","5.795633316040039","","9.843735694885254","","8.299519538879395","0.2934028804302216"
"NO2","ug/m3","28.06.2011","17.04555892944336","6.379996776580811","","10.59607410430908","","9.379960060119629","0.1942740678787231"
"NO2","ug/m3","29.06.2011","13.9884033203125","6.848505020141602","","9.781269073486328","15.20882797241211","8.617825508117676","0.2958290278911591"
"NO2","ug/m3","30.06.2011","16.46985054016113","8.189600944519043","","13.65370845794678","29.35685920715332","13.36738204956055","0.2350176870822906"
"NO2","ug/m3","01.07.2011","13.24452018737793","6.47186803817749","","9.149341583251953","16.91543769836426","9.429619789123535","0.2071538865566254"
"NO2","ug/m3","02.07.2011","14.72539329528809","4.556086540222168","","11.73659515380859","23.2841739654541","8.04265022277832","0.3635249733924866"
"NO2","ug/m3","03.07.2011","14.42775821685791","11.53509330749512","","16.29690361022949","32.22806167602539","","0.2075797766447067"
"NO2","ug/m3","04.07.2011","20.57783699035645","22.1751708984375","","21.68485450744629","36.54180145263672","","0.2075798511505127"
"NO2","ug/m3","05.07.2011","20.58188247680664","42.49482345581055","","27.02207565307617","56.44411468505859","","0.3379814922809601"
"NO2","ug/m3","06.07.2011","15.22365856170654","12.37176609039307","","14.0305004119873","26.2284049987793","","0.2180855870246887"
"NO2","ug/m3","07.07.2011","19.69987297058105","17.62668418884277","","20.14320182800293","39.81663513183594","","0.1979774832725525"
"NO2","ug/m3","08.07.2011","15.43918514251709","36.59270095825195","","23.26315879821777","59.14424133300781","43.34500885009766","0.5168617367744446"
